Sentence Number,Word Count,Common Word Count,Uncommon Word Count,Uncommon Length Ratio,Uncommon Common Ratio,Article Position,Uncommon Score
16,16,7,8,0.5,1.1428571428571428,47.05882352941176,14
33,10,6,3,0.3,0.5,97.05882352941177,11
2,11,1,8,0.7272727272727273,8.0,5.88235294117647,10
11,11,4,6,0.5454545454545454,1.5,32.35294117647059,9
3,19,8,9,0.47368421052631576,1.125,8.823529411764707,9
12,16,8,8,0.5,1.0,35.294117647058826,8
25,13,6,6,0.46153846153846156,1.0,73.52941176470588,7
24,13,6,7,0.5384615384615384,1.1666666666666667,70.58823529411765,7
7,12,6,5,0.4166666666666667,0.8333333333333334,20.588235294117645,6
0,8,0,4,0.5,4.0,0.0,5
31,12,8,4,0.3333333333333333,0.5,91.17647058823529,4
13,4,0,2,0.5,2.0,38.23529411764706,2
4,5,2,2,0.4,1.0,11.76470588235294,2
22,2,0,0,0.0,1.0,64.70588235294117,0
0,30,10,18,0.6,1.8,0.0,82
14,31,11,20,0.6451612903225806,1.8181818181818181,33.33333333333333,69
13,39,15,24,0.6153846153846154,1.6,30.952380952380953,58
1,28,9,19,0.6785714285714286,2.111111111111111,2.380952380952381,57
34,18,6,11,0.6111111111111112,1.8333333333333333,80.95238095238095,55
17,31,10,21,0.6774193548387096,2.1,40.476190476190474,51
10,29,8,21,0.7241379310344828,2.625,23.809523809523807,47
31,13,3,10,0.7692307692307693,3.3333333333333335,73.80952380952381,45
27,39,17,21,0.5384615384615384,1.2352941176470589,64.28571428571429,45
36,39,18,20,0.5128205128205128,1.1111111111111112,85.71428571428571,42
40,19,11,7,0.3684210526315789,0.6363636363636364,95.23809523809523,41
19,36,19,16,0.4444444444444444,0.8421052631578947,45.23809523809524,41
8,29,9,20,0.6896551724137931,2.2222222222222223,19.047619047619047,41
38,16,7,9,0.5625,1.2857142857142858,90.47619047619048,40
6,28,12,15,0.5357142857142857,1.25,14.285714285714285,39
2,33,11,22,0.6666666666666666,2.0,4.761904761904762,38
37,24,11,13,0.5416666666666666,1.1818181818181819,88.09523809523809,35
11,30,11,19,0.6333333333333333,1.7272727272727273,26.190476190476193,34
4,18,6,11,0.6111111111111112,1.8333333333333333,9.523809523809524,34
16,23,10,12,0.5217391304347826,1.2,38.095238095238095,31
3,30,14,15,0.5,1.0714285714285714,7.142857142857142,31
35,15,5,9,0.6,1.8,83.33333333333334,29
39,38,20,17,0.4473684210526316,0.85,92.85714285714286,28
5,16,6,10,0.625,1.6666666666666667,11.904761904761903,28
24,19,9,9,0.47368421052631576,1.0,57.14285714285714,26
22,25,12,13,0.52,1.0833333333333333,52.38095238095239,26
23,22,11,10,0.45454545454545453,0.9090909090909091,54.761904761904766,24
20,20,7,12,0.6,1.7142857142857142,47.61904761904761,24
15,21,9,12,0.5714285714285714,1.3333333333333333,35.714285714285715,22
33,18,6,11,0.6111111111111112,1.8333333333333333,78.57142857142857,21
29,25,11,14,0.56,1.2727272727272727,69.04761904761905,21
7,14,7,6,0.42857142857142855,0.8571428571428571,16.666666666666664,20
25,18,7,11,0.6111111111111112,1.5714285714285714,59.523809523809526,17
32,17,8,8,0.47058823529411764,1.0,76.19047619047619,16
30,7,2,4,0.5714285714285714,2.0,71.42857142857143,16
18,6,1,4,0.6666666666666666,4.0,42.857142857142854,16
26,11,3,8,0.7272727272727273,2.6666666666666665,61.904761904761905,11
9,18,11,6,0.3333333333333333,0.5454545454545454,21.428571428571427,11
28,10,3,7,0.7,2.3333333333333335,66.66666666666666,8
21,8,2,5,0.625,2.5,50.0,8
41,10,4,5,0.5,1.25,97.61904761904762,6
12,7,4,2,0.2857142857142857,0.5,28.57142857142857,3
40,58,25,32,0.5517241379310345,1.28,85.1063829787234,80
31,50,19,30,0.6,1.5789473684210527,65.95744680851064,79
35,37,16,20,0.5405405405405406,1.25,74.46808510638297,74
30,50,20,29,0.58,1.45,63.829787234042556,66
6,36,18,17,0.4722222222222222,0.9444444444444444,12.76595744680851,64
22,38,19,19,0.5,1.0,46.808510638297875,63
42,42,19,23,0.5476190476190477,1.2105263157894737,89.36170212765957,62
3,41,17,24,0.5853658536585366,1.411764705882353,6.382978723404255,62
1,29,7,20,0.6896551724137931,2.857142857142857,2.127659574468085,58
15,46,24,21,0.45652173913043476,0.875,31.914893617021278,56
34,56,24,32,0.5714285714285714,1.3333333333333333,72.3404255319149,55
44,24,9,15,0.625,1.6666666666666667,93.61702127659575,51
41,28,11,16,0.5714285714285714,1.4545454545454546,87.2340425531915,50
5,32,11,20,0.625,1.8181818181818181,10.638297872340425,49
19,33,12,21,0.6363636363636364,1.75,40.42553191489361,45
8,34,16,18,0.5294117647058824,1.125,17.02127659574468,45
36,34,10,23,0.6764705882352942,2.3,76.59574468085107,42
37,28,11,17,0.6071428571428571,1.5454545454545454,78.72340425531915,38
9,28,8,20,0.7142857142857143,2.5,19.148936170212767,38
4,22,6,16,0.7272727272727273,2.6666666666666665,8.51063829787234,37
26,31,15,15,0.4838709677419355,1.0,55.319148936170215,36
16,16,7,8,0.5,1.1428571428571428,34.04255319148936,36
32,33,17,14,0.42424242424242425,0.8235294117647058,68.08510638297872,35
18,31,13,17,0.5483870967741935,1.3076923076923077,38.297872340425535,35
24,25,10,14,0.56,1.4,51.06382978723404,33
43,29,15,13,0.4482758620689655,0.8666666666666667,91.48936170212765,32
46,27,14,12,0.4444444444444444,0.8571428571428571,97.87234042553192,31
13,27,16,10,0.37037037037037035,0.625,27.659574468085108,31
39,39,18,20,0.5128205128205128,1.1111111111111112,82.97872340425532,29
33,26,14,12,0.46153846153846156,0.8571428571428571,70.2127659574468,29
29,20,7,12,0.6,1.7142857142857142,61.702127659574465,29
27,22,8,13,0.5909090909090909,1.625,57.446808510638306,29
11,22,9,12,0.5454545454545454,1.3333333333333333,23.404255319148938,27
38,26,10,15,0.5769230769230769,1.5,80.85106382978722,24
14,26,12,14,0.5384615384615384,1.1666666666666667,29.78723404255319,24
7,17,6,10,0.5882352941176471,1.6666666666666667,14.893617021276595,24
12,28,14,13,0.4642857142857143,0.9285714285714286,25.53191489361702,23
20,28,11,15,0.5357142857142857,1.3636363636363635,42.5531914893617,22
45,18,7,10,0.5555555555555556,1.4285714285714286,95.74468085106383,20
23,14,6,7,0.5,1.1666666666666667,48.93617021276596,16
21,15,4,10,0.6666666666666666,2.5,44.680851063829785,15
10,21,14,6,0.2857142857142857,0.42857142857142855,21.27659574468085,14
2,21,11,10,0.47619047619047616,0.9090909090909091,4.25531914893617,14
17,13,6,6,0.46153846153846156,1.0,36.17021276595745,13
25,16,7,8,0.5,1.1428571428571428,53.191489361702125,12
0,5,1,3,0.6,3.0,0.0,6
28,9,5,3,0.3333333333333333,0.6,59.57446808510638,4
1,39,11,28,0.717948717948718,2.5454545454545454,6.666666666666667,47
0,41,16,20,0.4878048780487805,1.25,0.0,43
6,33,11,22,0.6666666666666666,2.0,40.0,42
2,45,18,26,0.5777777777777777,1.4444444444444444,13.333333333333334,41
11,30,10,19,0.6333333333333333,1.9,73.33333333333333,39
12,19,7,12,0.631578947368421,1.7142857142857142,80.0,32
10,25,9,15,0.6,1.6666666666666667,66.66666666666666,30
4,22,8,14,0.6363636363636364,1.75,26.666666666666668,26
9,16,5,10,0.625,2.0,60.0,23
3,32,17,15,0.46875,0.8823529411764706,20.0,22
5,25,12,12,0.48,1.0,33.33333333333333,21
7,19,8,10,0.5263157894736842,1.25,46.666666666666664,20
8,11,3,7,0.6363636363636364,2.3333333333333335,53.333333333333336,16
14,16,6,9,0.5625,1.5,93.33333333333333,14
13,14,5,8,0.5714285714285714,1.6,86.66666666666667,11
0,29,4,20,0.6896551724137931,5.0,0.0,84
14,45,13,31,0.6888888888888889,2.3846153846153846,63.63636363636363,83
4,35,12,22,0.6285714285714286,1.8333333333333333,18.181818181818183,82
18,33,11,22,0.6666666666666666,2.0,81.81818181818183,75
9,34,7,26,0.7647058823529411,3.7142857142857144,40.909090909090914,72
1,26,7,18,0.6923076923076923,2.5714285714285716,4.545454545454546,65
16,37,13,24,0.6486486486486487,1.8461538461538463,72.72727272727273,62
21,29,7,17,0.5862068965517241,2.4285714285714284,95.45454545454545,59
5,30,13,17,0.5666666666666667,1.3076923076923077,22.727272727272727,54
2,28,8,19,0.6785714285714286,2.375,9.090909090909092,54
19,19,6,13,0.6842105263157895,2.1666666666666665,86.36363636363636,52
3,22,7,15,0.6818181818181818,2.142857142857143,13.636363636363635,51
15,25,10,15,0.6,1.5,68.18181818181817,50
6,35,13,22,0.6285714285714286,1.6923076923076923,27.27272727272727,49
12,12,3,9,0.75,3.0,54.54545454545454,38
8,24,7,16,0.6666666666666666,2.2857142857142856,36.36363636363637,36
20,22,9,12,0.5454545454545454,1.3333333333333333,90.9090909090909,32
11,19,5,13,0.6842105263157895,2.6,50.0,30
7,13,4,9,0.6923076923076923,2.25,31.818181818181817,29
17,21,8,12,0.5714285714285714,1.5,77.27272727272727,25
10,19,5,13,0.6842105263157895,2.6,45.45454545454545,20
13,22,8,14,0.6363636363636364,1.75,59.09090909090909,19
0,48,13,34,0.7083333333333334,2.6153846153846154,0.0,152
1,35,15,20,0.5714285714285714,1.3333333333333333,3.7037037037037033,68
24,20,7,13,0.65,1.8571428571428572,88.88888888888889,64
10,25,7,16,0.64,2.2857142857142856,37.03703703703704,61
18,20,8,12,0.6,1.5,66.66666666666666,49
17,14,4,10,0.7142857142857143,2.5,62.96296296296296,46
4,29,12,17,0.5862068965517241,1.4166666666666667,14.814814814814813,44
15,20,8,12,0.6,1.5,55.55555555555556,43
22,14,6,8,0.5714285714285714,1.3333333333333333,81.48148148148148,40
8,23,10,12,0.5217391304347826,1.2,29.629629629629626,37
6,26,10,15,0.5769230769230769,1.5,22.22222222222222,37
13,8,1,7,0.875,7.0,48.148148148148145,36
21,19,8,10,0.5263157894736842,1.25,77.77777777777779,35
20,19,9,9,0.47368421052631576,1.0,74.07407407407408,29
11,17,7,10,0.5882352941176471,1.4285714285714286,40.74074074074074,29
23,13,6,6,0.46153846153846156,1.0,85.18518518518519,27
12,12,3,8,0.6666666666666666,2.6666666666666665,44.44444444444444,27
9,21,8,13,0.6190476190476191,1.625,33.33333333333333,21
19,8,3,4,0.5,1.3333333333333333,70.37037037037037,19
26,19,7,11,0.5789473684210527,1.5714285714285714,96.29629629629629,16
16,16,6,9,0.5625,1.5,59.25925925925925,15
3,13,6,7,0.5384615384615384,1.1666666666666667,11.11111111111111,14
25,13,7,6,0.46153846153846156,0.8571428571428571,92.5925925925926,13
2,18,7,10,0.5555555555555556,1.4285714285714286,7.4074074074074066,12
7,18,8,9,0.5,1.125,25.925925925925924,11
14,7,3,4,0.5714285714285714,1.3333333333333333,51.85185185185185,7
5,12,6,5,0.4166666666666667,0.8333333333333334,18.51851851851852,7
78,38,20,16,0.42105263157894735,0.8,87.64044943820225,51
56,22,12,9,0.4090909090909091,0.75,62.92134831460674,46
3,20,8,11,0.55,1.375,3.3707865168539324,43
32,22,8,11,0.5,1.375,35.95505617977528,40
7,30,19,10,0.3333333333333333,0.5263157894736842,7.865168539325842,37
84,38,17,19,0.5,1.1176470588235294,94.3820224719101,34
23,30,14,16,0.5333333333333333,1.1428571428571428,25.842696629213485,34
79,13,7,5,0.38461538461538464,0.7142857142857143,88.76404494382022,33
